City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Kilakarai,IN,84.85,overcast clouds,9.2333,78.7833,Geohomz Jamath Kilakarai
120,Jumla,NP,71.69,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
121,Ponta Do Sol,PT,74.01,clear sky,32.6667,-17.1,Hotel do Campo
122,Lianzhou,CN,90.45,scattered clouds,24.7811,112.3825,Qingcheng Tourism Industry
124,Roma,US,76.86,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
126,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
127,San Jose,US,81.57,scattered clouds,37.3394,-121.895,The Westin San Jose
128,Arraial Do Cabo,BR,69.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
131,Bethel,US,72.64,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
132,Toumodi,CI,75.7,scattered clouds,6.5613,-5.0158,Hotel Akanza
135,Victoria,HK,90.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
136,Caramay,PH,86.79,overcast clouds,10.1815,119.236,Peace and Love Beach Club
137,Namatanai,PG,85.26,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
139,Sol-Iletsk,RU,70.34,clear sky,51.1631,54.9918,Raduzhnaya
140,Phan Thiet,VN,86.13,overcast clouds,10.9333,108.1,Hotel Saigon-PT
141,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
142,Padang,ID,84.25,scattered clouds,-0.9492,100.3543,Mercure Padang
143,Bairiki,KI,84.2,light intensity shower rain,1.3292,172.9752,Tarawa Boutique Hotel
150,Faya,SA,64.51,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
151,Dickinson,US,86.2,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
153,North Bend,US,63.91,fog,43.4065,-124.2243,Red Lion Hotel Coos Bay
154,Norsup,VU,81.95,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
156,Aklavik,CA,72.43,broken clouds,68.2191,-135.0107,Aklavik Inn
157,Lata,PT,61.81,scattered clouds,40.1629,-8.3327,Casa Maquia
159,Chumikan,RU,63.05,overcast clouds,54.7183,135.315,Fortuna
161,Rincon,US,79.86,clear sky,32.296,-81.2354,Days Inn Rincon
165,La Asuncion,VE,82.13,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
167,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
171,Erenhot,CN,65.16,heavy intensity rain,43.6475,111.9767,Erenhot Rurouni Youth Hostel
172,Osoyoos,CA,88.34,clear sky,49.0331,-119.4524,Watermark Beach Resort Hotel
173,Khatanga,RU,61.48,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
175,Buala,SB,78.06,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
176,Limoux,FR,67.82,broken clouds,42.9167,2.1667,Vayamundo l'Espinet
177,San Quintin,MX,68.54,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
179,Gotsu,JP,82.54,overcast clouds,35,132.2167,Yurusato
181,Nemuro,JP,82.83,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
184,Half Moon Bay,US,80.33,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
186,Dhidhdhoo,MV,78.17,moderate rain,6.8833,73.1,Dhidhoo beach
187,Champagnole,FR,61.48,overcast clouds,46.7445,5.9135,Café Hôtel de la Gare
188,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
189,Vung Tau,VN,83.64,overcast clouds,10.346,107.0843,Green hotel
190,Pisco,PE,62.65,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
192,Greeley,US,83.75,few clouds,40.4233,-104.7091,Fairfield Inn & Suites by Marriott Greeley
194,Vila Velha,BR,60.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
195,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
196,Cockburn Town,TC,81.66,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
197,Puerto Ayacucho,VE,73.71,light rain,5.6639,-67.6236,Posada Turistica Manapiare
198,Kudahuvadhoo,MV,81.52,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
199,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
200,Skibbereen,IE,62.4,clear sky,51.55,-9.2667,The West Cork Hotel
201,Lewiston,US,64.69,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
203,Kavieng,PG,83.91,light rain,-2.5744,150.7967,Nusa Island Retreat
205,Tura,IN,81.12,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
206,Kieta,PG,81,light rain,-6.2167,155.6333,Uruna Bay Retreat
207,Hurghada,EG,82.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
208,Bowen,AU,79.02,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
209,Semporna,MY,82.6,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
212,Yashkul,RU,79.41,overcast clouds,46.1711,45.3435,Bon Voyazh
213,Nelson Bay,AU,60.01,clear sky,-32.7167,152.15,Mantra Nelson Bay
214,Sambava,MG,68.09,light rain,-14.2667,50.1667,Melrose
215,Kenai,US,62.02,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
217,Takoradi,GH,73.13,clear sky,4.8845,-1.7554,Raybow International Hotel
218,Huangmei,CN,88.92,clear sky,30.1924,116.025,Tianxiachan Hotel
219,Tansen,NP,74.48,overcast clouds,27.8673,83.5467,Taksar Stay
220,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
221,Caucaia,BR,78.75,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
222,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
224,Robertsport,LR,77.34,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
227,Muros,ES,64.24,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
229,Meulaboh,ID,82.74,overcast clouds,4.1363,96.1285,Kost Pria
230,Grand Gaube,MU,70.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
231,Pacific Grove,US,75.81,scattered clouds,36.6177,-121.9166,Lovers Point Inn
