City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Marsabit,KE,2.3284,37.9899,58.15,77,93,20.13,overcast clouds
79,Lebu,CL,-37.6167,-73.65,50.36,89,98,23.73,light rain
80,Atherton,GB,53.5237,-2.4935,59.29,84,100,6.33,overcast clouds
81,Nantucket,US,41.2835,-70.0995,70,91,1,6.91,clear sky
82,Saldanha,ZA,-33.0117,17.9442,46.45,45,100,10.8,overcast clouds
83,Cidreira,BR,-30.1811,-50.2056,61.43,77,29,6.71,scattered clouds
84,Tautira,PF,-17.7333,-149.15,78.82,76,61,5.75,light rain
85,Jiwani,PK,25.05,61.7417,82.56,83,82,6.96,broken clouds
86,Nikolskoye,RU,59.7035,30.7861,58.8,55,100,5.46,overcast clouds
87,Tiksi,RU,71.6872,128.8694,44.94,76,78,6.13,broken clouds
88,Busselton,AU,-33.65,115.3333,63.05,67,71,19.28,broken clouds
89,Charters Towers,AU,-20.1,146.2667,75.51,20,36,14.07,scattered clouds
90,Avarua,CK,-21.2078,-159.775,78.85,65,25,10.36,scattered clouds
91,Fortuna,US,40.5982,-124.1573,58.86,90,90,1.01,overcast clouds
92,Vardo,NO,70.3705,31.1107,46.18,84,97,24.32,overcast clouds
93,Chapais,CA,49.7834,-74.8492,69.58,56,100,12.03,overcast clouds
94,Wenling,CN,28.3669,121.36,80.91,78,100,24.81,overcast clouds
95,Namibe,AO,-15.1961,12.1522,66.97,52,0,5.12,clear sky
96,Kaitangata,NZ,-46.2817,169.8464,49.93,62,96,10.11,overcast clouds
97,Upernavik,GL,72.7868,-56.1549,39.13,86,8,2.33,clear sky
98,Hopkinsville,US,36.8656,-87.4886,82.35,89,5,4.92,clear sky
99,Kavaratti,IN,10.5669,72.642,81.95,78,92,21.27,overcast clouds
100,Bozoum,CF,6.3193,16.3799,65.82,97,61,3.47,light rain
101,Lekoni,GA,-1.5843,14.2591,73.8,55,42,8.7,scattered clouds
102,Fort Nelson,CA,58.8053,-122.7002,72.99,33,40,4.61,scattered clouds
103,Quatre Cocos,MU,-20.2078,57.7625,69.91,74,67,15.99,broken clouds
104,Hovd,MN,48.0056,91.6419,70.79,43,20,5.93,few clouds
